R=1," Q=[0.1, 0.01, 0, 0.01, 0.01, 0, 0, 0, 0.1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = P control in steering 0.7
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k
0.00478,0.00419,0.00000,0.10483,0.08228,-0.00129,0.00000,0.20886,0.11865,0.97661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.55410,-0.12262,0.00000
0.01361,0.00289,0.00000,0.10118,0.08228,-0.00038,0.00000,0.20838,0.11810,0.97716,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.53839,-0.11924,0.00000
0.02394,0.00307,0.00000,0.09771,0.08228,-0.00068,0.00000,0.20917,0.11816,0.97734,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.52449,-0.11628,0.00000
0.03382,0.00282,0.00000,0.09441,0.08228,-0.00144,0.00000,0.20832,0.11858,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51171,-0.11358,0.00000
0.04424,0.00310,0.00000,0.09145,0.08228,0.00023,0.00000,0.20825,0.12163,0.97948,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49814,-0.11063,0.00000
0.05407,0.00280,0.00000,0.08882,0.08228,-0.00114,0.00000,0.20819,0.12566,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48861,-0.10864,0.00000
0.06432,0.00291,0.00000,0.08643,0.08228,-0.00114,0.00000,0.21002,0.12761,0.97673,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47885,-0.10656,0.00000
0.07453,0.00299,0.00000,0.08407,0.08228,-0.00144,0.00000,0.20325,0.12560,0.97673,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46947,-0.10457,0.00000
0.08456,0.00288,0.00000,0.08310,0.08228,0.00100,0.00000,0.21710,0.15085,0.97112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46342,-0.10320,0.00000
0.09763,0.00579,0.00000,0.08210,0.08228,0.00497,0.00000,0.21966,0.14884,0.97447,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45588,-0.10147,0.00000
0.10635,0.00434,0.00000,0.08077,0.08228,0.00191,0.00000,0.19807,0.14292,0.98844,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45310,-0.10097,0.00000
0.11522,0.00307,0.00000,0.07980,0.08228,0.00008,0.00000,0.20990,0.14847,0.97917,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45075,-0.10053,0.00000
0.12586,0.00356,0.00000,0.07871,0.08228,0.00146,0.00000,0.22430,0.14591,0.98521,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44508,-0.09928,0.00000
