R=1," Q=[0.1, 0.01, 0, 0.01, 0.01, 0, 0, 0, 0.1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = P = 2 in steering angle
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k
0.00533,0.00474,0.00000,0.52683,0.02578,0.02724,0.00000,0.20502,0.10498,0.97905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.16597,-0.46267,0.00000
0.01496,0.00420,0.00000,0.50174,0.02578,0.02480,0.00000,0.20594,0.10669,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.06568,-0.44135,0.00000
0.02480,0.00386,0.00000,0.47794,0.02578,0.02266,0.00000,0.20655,0.10779,0.97801,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.97042,-0.42109,0.00000
0.03523,0.00411,0.00000,0.45535,0.02578,0.01854,0.00000,0.20649,0.10882,0.98009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.88179,-0.40230,0.00000
0.04510,0.00381,0.00000,0.43394,0.02578,0.02083,0.00000,0.20813,0.10974,0.98009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.79241,-0.38316,0.00000
0.05554,0.00408,0.00000,0.41380,0.02578,0.02052,0.00000,0.21033,0.11370,0.98118,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.71046,-0.36569,0.00000
0.06543,0.00380,0.00000,0.39467,0.02578,0.01716,0.00000,0.20789,0.11468,0.98271,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.63528,-0.34975,0.00000
0.07601,0.00393,0.00000,0.37656,0.02578,0.01670,0.00000,0.21338,0.11578,0.98057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.56174,-0.33407,0.00000
0.08655,0.00425,0.00000,0.35926,0.02578,0.01426,0.00000,0.21313,0.11468,0.98192,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.49327,-0.31954,0.00000
0.09628,0.00380,0.00000,0.34289,0.02578,0.01625,0.00000,0.21521,0.11535,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.42472,-0.30485,0.00000
0.10672,0.00407,0.00000,0.32739,0.02578,0.01823,0.00000,0.21576,0.11596,0.97832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.35970,-0.29092,0.00000
0.11665,0.00382,0.00000,0.31268,0.02578,0.01472,0.00000,0.21966,0.11651,0.97557,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.30272,-0.27887,0.00000
0.12712,0.00412,0.00000,0.29850,0.02578,0.01640,0.00000,0.21990,0.11218,0.97667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.24336,-0.26615,0.00000
0.13697,0.00379,0.00000,0.28505,0.02578,0.01335,0.00000,0.22009,0.11340,0.97551,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.19115,-0.25510,0.00000
0.14747,0.00412,0.00000,0.27227,0.02578,0.01518,0.00000,0.21997,0.11303,0.97807,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.13739,-0.24358,0.00000
0.15724,0.00372,0.00000,0.26024,0.02578,0.01335,0.00000,0.22021,0.11572,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.08986,-0.23349,0.00000
0.16782,0.00414,0.00000,0.24830,0.02578,0.00892,0.00000,0.22045,0.10632,0.98027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.04497,-0.22405,0.00000
