R=1," Q=[0.1, 0.01, 0, 0.01, 0.01, 0, 0, 0, 0.1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = increase the frequency to 50 Hz D0.95 Delay 1
Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az,phi_Gyro_intArd,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,delta_stack,x_stack
0.011699914932250977,0.01120305061340332,4,0.0,0.0117,0.10497447884832922,-0.0,0,0.0,0.0116,0.0117,-0.0,0.01,0.02,0.01,1.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073225990653164,-0.04979357552551152,0,[[0. 0.]],"[[0.][0.]]"
0.030464887619018555,0.00975799560546875,4,0.0,0.0117,0.10548392630566811,-0.0,0,0.0,0.0116,0.0117,-0.0,0.01,0.02,0.01,1.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20809696921619505,-0.0499857741969596,0,[[0. 0.]],"[[0.][0.]]"
0.051325082778930664,0.010328054428100586,4,0.0,0.0117,0.10599337376300699,-0.0,0,0.0,0.0116,0.0117,-0.0,0.01,0.01,0.01,1.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2088713393670737,-0.050177972868407694,0,[[0. 0.]],"[[0.][0.]]"
0.07094192504882812,0.009747982025146484,4,0.0,0.0117,0.10650282122034588,-0.0,0,0.0,0.0116,0.0117,-0.0,0.01,0.01,0.01,1.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20964570951795236,-0.05037017153985576,0,[[0. 0.]],"[[0.][0.]]"
0.09126901626586914,0.009872913360595703,4,0.0,0.0116,0.10701226867768476,-0.0,0,0.0,0.0116,0.0116,-0.0,0.01,0.01,0.01,1.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100118802891697,-0.05047527643777191,0,[[0. 0.]],"[[0.][0.]]"
0.11163997650146484,0.010051965713500977,4,0.0,0.0117,0.10749341349850482,0.0,0,0.0,0.0116,0.0117,0.0,0.01,0.01,0.01,1.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21115142925577196,-0.0507438911787826,0,[[0. 0.]],"[[0.][0.]]"
0.13146495819091797,0.009671211242675781,4,0.0,0.0117,0.10808776886540018,0.0,0,0.0,0.0117,0.0117,0.0,0.01,0.01,0.01,1.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21205486109846372,-0.05096812296213869,0,[[0. 0.]],"[[0.][0.]]"
0.151763916015625,0.009777069091796875,4,0.0,0.0118,0.1087387295053332,0.0,0,0.0,0.0118,0.0118,0.0,0.01,0.01,0.01,1.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134525334486922,-0.0513008039269654,0,[[0. 0.]],"[[0.][0.]]"
0.17194104194641113,0.009774923324584961,4,0.0,0.0119,0.1093613875087474,0.0,0,0.0,0.0119,0.0119,0.0,0.01,0.01,0.01,0.99,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21480718523498302,-0.05162280718782278,0,[[0. 0.]],"[[0.][0.]]"
0.1923530101776123,0.009991884231567383,4,0.0,0.012,0.11012555869475572,0.0,0,0.0,0.012,0.012,0.0,0.01,0.02,0.02,1.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21637693984096232,-0.051998198968526844,0,[[0. 0.]],"[[0.][0.]]"
