R=1," Q=[0.1, 0.01, 0, 0.01, 0.01, 0, 0, 0, 0.1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = try P 20 no delay no predictor no D
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k
0.00567,0.00508,0.00000,-0.10468,0.02140,-0.00024,0.00000,0.21130,0.12310,0.97630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.39457,0.08305,0.00000
0.01435,0.00359,0.00000,-0.09759,0.02140,0.00114,0.00000,0.21161,0.12322,0.97643,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.36683,0.07717,0.00000
0.02470,0.00373,0.00000,-0.09098,0.02140,0.00114,0.00000,0.21191,0.12096,0.97813,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.33983,0.07141,0.00000
0.03528,0.00407,0.00000,-0.08465,0.02140,0.00159,0.00000,0.21289,0.12163,0.97777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.31442,0.06600,0.00000
0.04532,0.00392,0.00000,-0.07873,0.02140,0.00159,0.00000,0.21435,0.11980,0.97667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.29025,0.06084,0.00000
0.05548,0.00391,0.00000,-0.07316,0.02140,0.00144,0.00000,0.21222,0.11865,0.97618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.26737,0.05596,0.00000
0.06627,0.00452,0.00000,-0.06787,0.02140,0.00098,0.00000,0.21088,0.11865,0.97533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24536,0.05125,0.00000
0.07594,0.00401,0.00000,-0.06281,0.02140,-0.00131,0.00000,0.21277,0.11956,0.97466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22273,0.04635,0.00000
0.08598,0.00386,0.00000,-0.05811,0.02140,-0.00100,0.00000,0.21149,0.11755,0.97649,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20382,0.04232,0.00000
0.09633,0.00401,0.00000,-0.05356,0.02140,-0.00482,0.00000,0.21204,0.11999,0.97557,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18193,0.03754,0.00000
