Time,RealizedDelta,DeltaRef,DeltaDot,DeltaDotRef,Diff
0.004765034,0,0.3,0,0,0.3
0.013797045,2.83E-05,0.3,0.002830264,9.114663837,0
0.024189949,0.009792712,0.3,0.97644096,8.912050464,0
0.034428835,0.051001351,0.3,4.120863877,7.752417842,0
0.04478097,0.105540532,0.3,5.453918057,6.176605334,0
0.056952953,0.154758816,0.3,4.921828491,4.75031719,0
0.066812038,0.202505364,0.3,4.774654781,3.3485875,0
0.076834917,0.236666647,0.3,3.416128228,2.342802473,0
0.08672595,0.263950388,0.3,2.72837416,2.342802473,0
0.100641966,0.295592736,0.3,3.164234763,0.578072977,0
0.107661009,0.310932765,0.3,1.534002899,0.578072977,0
0.117681026,0.320244332,0.3,0.931156741,-0.17226416,0
0.131814957,0.323159504,0.3,0.291517156,-0.269288557,0
0.138847828,0.322084004,0.3,-0.107550019,-0.269288557,0
0.149150848,0.319706582,0.3,-0.237742147,-0.176160989,0
0.159168005,0.318093332,0.3,-0.161325028,-0.133202864,0
0.172039032,0.316649897,0.3,-0.144343446,-0.096312791,0
0.185359001,0.315489489,0.3,-0.11604081,-0.06757868,0
0.191165924,0.315432884,0.3,-0.005660527,-0.06757868,0
0.204041958,0.314866831,0.3,-0.056605273,-0.057340412,0
0.213841915,0.314866831,0.3,0,-0.057340412,0
0.222060919,0.314555502,0.3,-0.0311329,-0.055878059,0
0.23257494,0.314300779,0.3,-0.025472373,-0.052746187,0
0.242430925,0.314130963,0.3,-0.016981582,-0.052746187,0
0.253757954,0.314046055,0.3,-0.008490791,-0.054030206,0
0.263164043,0.314017752,0.3,-0.002830264,-0.054030206,0
0.273593903,0.313876239,0.3,-0.014151318,-0.057198145,0
0.285028934,0.313706423,0.3,-0.016981582,-0.056803613,0
0.294296026,0.313734726,0.3,0.002830264,-0.056803613,0
0.304925919,0.313678121,0.3,-0.005660527,-0.06411708,0
0.314859867,0.313395094,0.3,-0.028302637,-0.06411708,0
0.324961901,0.313253581,0.3,-0.014151318,-0.059351331,0
0.334862947,0.312998857,0.3,-0.025472373,-0.059351331,0
0.345760822,0.312715831,0.3,-0.028302637,-0.05115164,0
0.355857849,0.312574318,0.3,-0.014151318,-0.05115164,0
0.365746021,0.312262989,0.3,-0.0311329,-0.044921266,0
0.37616086,0.31206487,0.3,-0.019811846,-0.042745165,0
0.386716843,0.31195166,0.3,-0.011321055,-0.04312942,0
0.398255825,0.311696936,0.3,-0.025472373,-0.039515078,0
0.407001019,0.311583725,0.3,-0.011321055,-0.039515078,0
0.41811204,0.311385607,0.3,-0.019811846,-0.036695723,0
0.428048849,0.311357304,0.3,-0.002830264,-0.039516542,0
0.437594891,0.311244094,0.3,-0.011321055,-0.039516542,0
0.452091932,0.311272396,0.3,0.002830264,-0.04509355,0
0.461174965,0.311244094,0.3,-0.002830264,-0.04509355,0
0.47189188,0.311187489,0.3,-0.005660527,-0.048932881,0
0.479710817,0.31098937,0.3,-0.019811846,-0.048932881,0
0.490679026,0.310791252,0.3,-0.019811846,-0.043382666,0
0.500473022,0.310734646,0.3,-0.005660527,-0.043382666,0
0.510519028,0.310706344,0.3,-0.002830264,-0.04720394,0
0.520792007,0.310508225,0.3,-0.019811846,-0.044506501,0
0.531044006,0.310366712,0.3,-0.014151318,-0.04344608,0
0.541543961,0.310253502,0.3,-0.011321055,-0.043188883,0
0.551849842,0.310140291,0.3,-0.011321055,-0.04302018,0
0.56191802,0.31002708,0.3,-0.011321055,-0.042652138,0
0.574023008,0.309800659,0.3,-0.022642109,-0.03919282,0
0.587187052,0.309687449,0.3,-0.011321055,-0.039841101,0
0.599055052,0.30948933,0.3,-0.019811846,-0.037201536,0
0.607794046,0.309404422,0.3,-0.008490791,-0.037201536,0
0.615934849,0.30937612,0.3,-0.002830264,-0.038626463,0
0.626246929,0.309432725,0.3,0.005660527,-0.043245518,0
