Time,delta,AngRef,angVelref,Realized,Ref_diff
0.003397942,0,0,0,0,0
0.013840914,2.83E-05,0.0058475,0.029114204,0.002830264,0.0058475
0.023967981,0.00042454,0.0076825,0.029114204,0.039623691,0.001835
0.034063816,0.000877382,0.0095112,0.043239728,0.045284218,0.0018287
0.04466486,0.001358527,0.011327,0.049944683,0.048114482,0.0018158
0.05466485,0.001924579,0.013125,0.056138033,0.056605273,0.001798
0.065004826,0.002745356,0.014901,0.060951873,0.082077646,0.001776
0.075067997,0.003566132,0.016652,0.065642511,0.082077646,0.001751
0.085437775,0.004386909,0.018374,0.07019213,0.082077646,0.001722
0.096403837,0.00526429,0.020065,0.074305614,0.087738173,0.001691
0.105999947,0.006198277,0.02172,0.077958739,0.093398701,0.001655
0.116309881,0.007132264,0.023338,0.081428966,0.093398701,0.001618
0.126251936,0.00826437,0.024915,0.081428966,0.113210546,0.001577
0.136782885,0.009396475,0.02645,0.085772653,0.113210546,0.001535
0.146833897,0.010358765,0.02794,0.08846426,0.096228964,0.00149
0.157253981,0.011547476,0.029383,0.089791449,0.118871073,0.001443
0.167280912,0.012679581,0.030779,0.091165383,0.113210546,0.001396
0.177622795,0.013783384,0.032124,0.092428279,0.110380282,0.001345
0.187861919,0.014972095,0.033419,0.093015431,0.118871073,0.001295
0.197946787,0.016160805,0.034661,0.09333882,0.118871073,0.001242
0.208385944,0.017292911,0.035851,0.093686362,0.113210546,0.00119
0.218417883,0.01856653,0.036986,0.093048726,0.127361864,0.001135
0.228785992,0.01975524,0.038067,0.092567101,0.118871073,0.001081
0.23898387,0.020859043,0.039093,0.092233867,0.110380282,0.001026
0.249340773,0.022132662,0.040063,0.09077149,0.127361864,0.00097
0.25936985,0.023321372,0.040978,0.089456113,0.118871073,0.000915
0.269846916,0.024453478,0.041838,0.088150185,0.113210546,0.00086
0.28004384,0.025557281,0.042642,0.086703317,0.110380282,0.000804
0.290032864,0.026745992,0.043391,0.084554813,0.118871073,0.000749
0.300519943,0.027849794,0.044086,0.082561802,0.110380282,0.000695
0.310539961,0.028896992,0.044725,0.080568431,0.104719755,0.000639
0.320908785,0.030000795,0.045311,0.07802707,0.110380282,0.000586
0.330952883,0.030963084,0.045844,0.075925457,0.096228964,0.000533
0.341486931,0.031981979,0.046325,0.073281261,0.101889491,0.000481
0.351502895,0.032944269,0.046754,0.070656313,0.096228964,0.000429
0.361781836,0.033849953,0.047132,0.068058865,0.090568437,0.000378
0.372293949,0.034812243,0.047461,0.064932276,0.096228964,0.000329
0.38220191,0.035576414,0.047741,0.064932276,0.076417119,0.00028
0.392672777,0.036425493,0.047974,0.059501659,0.08490791,0.000233
0.406409979,0.037444388,0.04816,0.055381207,0.101889491,0.000186
0.41362977,0.038010441,0.048302,0.055381207,0.056605273,0.000142
0.423769951,0.038689704,0.0484,0.050404825,0.067926328,9.80E-05
0.433850765,0.03939727,0.048455,0.047169851,0.070756591,5.50E-05
0.444551945,0.040076533,0.048469,0.043870449,0.067926328,1.40E-05
0.454473972,0.040699191,0.048444,0.043870449,0.0622658,-2.50E-05
0.464809895,0.041265244,0.048381,0.037530158,0.056605273,-6.30E-05
0.474811792,0.041831297,0.048281,0.034219266,0.056605273,-0.0001
0.485374928,0.042369047,0.048145,0.030868811,0.053775009,-0.000136
0.4952178,0.042765284,0.047976,0.030868811,0.039623691,-0.000169
0.505622864,0.043161521,0.047774,0.025079453,0.039623691,-0.000202
0.515911818,0.043642666,0.047542,0.021525543,0.048114482,-0.000232
0.525975943,0.043925692,0.047281,0.018815739,0.028302637,-0.000261
0.536383867,0.044180416,0.046992,0.016105892,0.025472373,-0.000289
0.546475887,0.044520047,0.046676,0.012834264,0.033963164,-0.000316
0.556830883,0.044633258,0.046336,0.010573503,0.011321055,-0.00034
0.566884995,0.044831376,0.045973,0.007771356,0.019811846,-0.000363
0.577254772,0.0450861,0.045587,0.004569295,0.025472373,-0.000386
0.587321997,0.045255916,0.045182,0.001694992,0.016981582,-0.000405
0.59768796,0.045312521,0.044757,-0.000714761,0.005660527,-0.000425
0.608030796,0.045340824,0.044316,-0.003064378,0.002830264,-0.000441
0.618062973,0.045425732,0.043858,-0.005783751,0.008490791,-0.000458
0.628464937,0.04551064,0.043385,-0.00857992,0.008490791,-0.000473
0.638495922,0.045538942,0.042899,-0.011159386,0.002830264,-0.000486
0.649009943,0.045538942,0.042401,-0.013659271,0,-0.000498
0.658931971,0.045567245,0.041892,-0.013659271,0.002830264,-0.000509
0.66937089,0.045595547,0.041374,-0.019103092,0.002830264,-0.000518
0.679415941,0.045680455,0.040848,-0.022172198,0.008490791,-0.000526
0.689730883,0.045680455,0.040314,-0.024858801,0,-0.000534
0.700048923,0.045652153,0.039775,-0.027430459,-0.002830264,-0.000539
0.710085869,0.045652153,0.039231,-0.030169833,0,-0.000544
0.720506907,0.045652153,0.038683,-0.032931599,0,-0.000548
0.730555773,0.045652153,0.038132,-0.035709279,0,-0.000551
0.740925789,0.045595547,0.03758,-0.038211199,-0.005660527,-0.000552
0.751051903,0.045567245,0.037027,-0.040860609,-0.002830264,-0.000553
0.761428833,0.04551064,0.036474,-0.043370723,-0.005660527,-0.000553
0.771462917,0.045369126,0.035922,-0.045451614,-0.014151318,-0.000552
0.781760931,0.045340824,0.035372,-0.048090884,-0.002830264,-0.00055
0.792195797,0.045227613,0.034825,-0.050292378,-0.011321055,-0.000547
0.803213835,0.045057797,0.034281,-0.052198839,-0.016981582,-0.000544
0.812890768,0.044944587,0.033741,-0.052198839,-0.011321055,-0.00054
0.822927952,0.044887982,0.033206,-0.056793948,-0.005660527,-0.000535
0.833290815,0.04466156,0.032677,-0.058344109,-0.022642109,-0.000529
0.843382835,0.04454835,0.032154,-0.060430585,-0.011321055,-0.000523
0.853738785,0.044321929,0.031637,-0.061922874,-0.022642109,-0.000517
0.864055872,0.04412381,0.031128,-0.06351738,-0.019811846,-0.000509
0.874055862,0.043897389,0.030626,-0.064935244,-0.022642109,-0.000502
0.884490967,0.043699271,0.030133,-0.066452109,-0.019811846,-0.000493
0.894536972,0.043529455,0.029647,-0.068074906,-0.016981582,-0.000486
