R=1," Q=[10, -3, -3, 1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = with the new gain
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.02373,0.02312,0.00000,-0.26227,0.13965,-0.01129,0.00000,0.21258,0.11395,0.98466,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07484
0.03190,0.00573,0.00000,-0.24837,0.13818,-0.01175,0.00000,0.21429,0.10821,0.98570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07337
0.04187,0.00555,0.00000,-0.23510,0.14009,-0.01205,0.00000,0.21435,0.10626,0.98314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07528
0.05198,0.00553,0.00000,-0.22276,0.13730,-0.01282,0.00000,0.21411,0.10083,0.98240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07249
0.06214,0.00554,0.00000,-0.21111,0.13936,-0.01312,0.00000,0.21417,0.09943,0.98131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07454
0.07229,0.00555,0.00000,-0.20004,0.13965,-0.01358,0.00000,0.21362,0.09894,0.97752,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07484
0.08257,0.00569,0.00000,-0.18963,0.13906,-0.01404,0.00000,0.21313,0.09699,0.97661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07425
0.09247,0.00545,0.00000,-0.17976,0.14303,-0.01618,0.00000,0.21210,0.09681,0.97716,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07822
0.10290,0.00574,0.00000,-0.17033,0.13803,-0.01694,0.00000,0.21307,0.09851,0.97856,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07322
0.11665,0.00935,0.00000,-0.16111,0.13980,-0.01954,0.00000,0.21277,0.10401,0.97887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07499
0.12729,0.00802,0.00000,-0.15206,0.13568,-0.01419,0.00000,0.21557,0.11053,0.98222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07087
0.13521,0.00573,0.00000,-0.14356,0.13318,-0.01450,0.00000,0.21374,0.10718,0.98417,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06837
0.14502,0.00540,0.00000,-0.13559,0.13936,-0.01236,0.00000,0.21484,0.10541,0.98558,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07454
0.15615,0.00636,0.00000,-0.12770,0.13936,-0.01129,0.00000,0.21557,0.11120,0.98314,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07454
