R=1," Q=[10, -3, -3, 1]"," MassCenterhAndb=[0.5195, 0.4964]",Description = new gain with correct state calculation
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.01216,0.01157,0.00000,0.27498,0.09593,0.00933,0.00000,0.21405,0.11438,0.97832,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.26014,-0.27366,0.00000,0.06734
0.02025,0.00569,0.00000,0.26274,0.09637,0.01223,0.00000,0.21313,0.11383,0.98021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.20831,-0.26254,0.00000,0.06778
0.03019,0.00549,0.00000,0.25110,0.09549,0.01208,0.00000,0.21307,0.11419,0.97990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.15959,-0.25210,0.00000,0.06690
0.04062,0.00577,0.00000,0.24013,0.09563,0.01162,0.00000,0.21344,0.11608,0.97923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.11545,-0.24270,0.00000,0.06705
0.05047,0.00548,0.00000,0.22962,0.09563,0.01208,0.00000,0.21228,0.11413,0.97911,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.07215,-0.23345,0.00000,0.06705
0.06083,0.00568,0.00000,0.21974,0.09740,0.01223,0.00000,0.21252,0.11627,0.97893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.03439,-0.22548,0.00000,0.06881
0.07328,0.00799,0.00000,0.21040,0.09652,0.01147,0.00000,0.21197,0.11682,0.98076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99556,-0.21718,0.00000,0.06793
0.08386,0.00828,0.00000,0.20150,0.09534,0.01055,0.00000,0.21216,0.11675,0.97874,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95823,-0.20918,0.00000,0.06675
0.09201,0.00602,0.00000,0.19321,0.09710,0.00994,0.00000,0.21124,0.12084,0.97935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.92762,-0.20276,0.00000,0.06852
0.10153,0.00540,0.00000,0.18537,0.09563,0.01315,0.00000,0.21307,0.12084,0.98064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.89061,-0.19469,0.00000,0.06705
0.11187,0.00560,0.00000,0.17769,0.09475,0.01025,0.00000,0.21130,0.11621,0.97948,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.86042,-0.18829,0.00000,0.06617
0.12400,0.00757,0.00000,0.17030,0.09681,0.00872,0.00000,0.21258,0.11450,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.83470,-0.18295,0.00000,0.06822
0.13239,0.00580,0.00000,0.16350,0.09681,0.01055,0.00000,0.21356,0.11919,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80536,-0.17664,0.00000,0.06822
0.14213,0.00540,0.00000,0.15676,0.09666,0.00674,0.00000,0.21057,0.11395,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78094,-0.17154,0.00000,0.06808
0.15248,0.00558,0.00000,0.15036,0.09696,0.00490,0.00000,0.21466,0.11462,0.98076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75687,-0.16647,0.00000,0.06837
0.16408,0.00700,0.00000,0.14457,0.09578,0.00674,0.00000,0.21405,0.11974,0.97911,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.72986,-0.16059,0.00000,0.06720
0.17405,0.00667,0.00000,0.13944,0.09387,0.00384,0.00000,0.21411,0.12773,0.97777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.70852,-0.15603,0.00000,0.06529
0.18493,0.00736,0.00000,0.13480,0.09284,0.00414,0.00000,0.21893,0.13267,0.97704,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.68778,-0.15154,0.00000,0.06426
0.19477,0.00682,0.00000,0.13082,0.09593,0.00414,0.00000,0.21728,0.14128,0.97801,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.67621,-0.14923,0.00000,0.06734
0.20772,0.00944,0.00000,0.12564,0.09549,0.00277,0.00000,0.23747,0.11407,0.98149,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.65559,-0.14485,0.00000,0.06690
