R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = the previous gain
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.01269,0.01210,0.00000,0.14584,0.04882,0.00796,0.00000,0.21283,0.10157,0.98228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.66258,-0.14371,0.00000,0.07543
0.02459,0.00767,0.00000,0.13943,0.04853,0.00796,0.00000,0.21344,0.10175,0.98125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63597,-0.13802,0.00000,0.07513
0.03462,0.00751,0.00000,0.13338,0.04912,0.00919,0.00000,0.21246,0.10333,0.98021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.61113,-0.13271,0.00000,0.07572
0.04499,0.00718,0.00000,0.12767,0.05000,0.00934,0.00000,0.21362,0.10352,0.97996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.58900,-0.12803,0.00000,0.07660
0.05616,0.00776,0.00000,0.12216,0.04779,0.00995,0.00000,0.21210,0.10199,0.98064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.56263,-0.12227,0.00000,0.07440
0.06693,0.00817,0.00000,0.11686,0.04809,0.00766,0.00000,0.21197,0.10132,0.98131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.54344,-0.11826,0.00000,0.07469
0.07602,0.00690,0.00000,0.11201,0.05117,0.00674,0.00000,0.21582,0.10492,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.52914,-0.11540,0.00000,0.07778
0.08778,0.00851,0.00000,0.10724,0.05044,0.00766,0.00000,0.21106,0.10163,0.98179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50776,-0.11078,0.00000,0.07704
0.09692,0.00688,0.00000,0.10277,0.04970,0.00919,0.00000,0.21161,0.10279,0.98155,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48706,-0.10627,0.00000,0.07631
0.10591,0.00570,0.00000,0.09862,0.04867,0.00583,0.00000,0.21326,0.10522,0.98064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47148,-0.10300,0.00000,0.07528
0.11655,0.00570,0.00000,0.09464,0.04794,0.00292,0.00000,0.21338,0.10504,0.98192,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45663,-0.09988,0.00000,0.07454
0.12831,0.00729,0.00000,0.09060,0.04912,0.00140,0.00000,0.20990,0.10022,0.98259,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44327,-0.09713,0.00000,0.07572
0.13910,0.00732,0.00000,0.08713,0.04867,0.00277,0.00000,0.21149,0.10730,0.98240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.42724,-0.09365,0.00000,0.07528
0.14923,0.00674,0.00000,0.08393,0.05044,0.00231,0.00000,0.21594,0.10937,0.98076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41726,-0.09163,0.00000,0.07704
0.16022,0.00731,0.00000,0.08075,0.05073,0.00216,0.00000,0.21496,0.10651,0.98094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40486,-0.08900,0.00000,0.07734
