R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = P30 I0 same gain
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.01261,0.01199,0.00000,0.00063,0.09513,0.00381,0.00000,0.21057,0.10291,0.98198,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14388,-0.03562,0.00000,0.05500
0.02446,0.00739,0.00000,0.00144,0.09557,0.00579,0.00000,0.21143,0.10138,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14610,-0.03606,0.00000,0.05544
0.03468,0.00702,0.00000,0.00210,0.09778,0.00197,0.00000,0.21106,0.10053,0.97966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15546,-0.03829,0.00000,0.05764
0.04565,0.00728,0.00000,0.00269,0.09513,0.00167,0.00000,0.21216,0.09986,0.97862,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15412,-0.03787,0.00000,0.05500
0.05600,0.00711,0.00000,0.00333,0.09440,0.00106,0.00000,0.21570,0.10175,0.97923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15616,-0.03829,0.00000,0.05426
0.06586,0.00623,0.00000,0.00398,0.09498,-0.00016,0.00000,0.21545,0.10303,0.98131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16078,-0.03934,0.00000,0.05485
0.07698,0.00718,0.00000,0.00458,0.09587,-0.00200,0.00000,0.21679,0.10297,0.98137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16615,-0.04059,0.00000,0.05573
0.08879,0.00748,0.00000,0.00525,0.09587,-0.00062,0.00000,0.21868,0.10468,0.98003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16768,-0.04087,0.00000,0.05573
0.09903,0.00688,0.00000,0.00592,0.09204,0.00106,0.00000,0.21850,0.10504,0.97996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16314,-0.03965,0.00000,0.05191
0.11008,0.00725,0.00000,0.00651,0.09572,0.00045,0.00000,0.21905,0.10413,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17166,-0.04168,0.00000,0.05559
0.12069,0.00715,0.00000,0.00714,0.09381,-0.00138,0.00000,0.21990,0.10614,0.98088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17293,-0.04191,0.00000,0.05368
0.13134,0.00699,0.00000,0.00766,0.09484,0.00014,0.00000,0.21740,0.10419,0.98118,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17529,-0.04242,0.00000,0.05470
0.14182,0.00713,0.00000,0.00833,0.09719,0.00167,0.00000,0.21612,0.10718,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18027,-0.04356,0.00000,0.05706
0.15263,0.00745,0.00000,0.00872,0.09528,0.00213,0.00000,0.21972,0.10236,0.97984,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17858,-0.04308,0.00000,0.05514
0.16276,0.00679,0.00000,0.00900,0.09675,0.00304,0.00000,0.21295,0.09998,0.97893,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18115,-0.04368,0.00000,0.05661
0.17209,0.00596,0.00000,0.00942,0.09616,0.00243,0.00000,0.21783,0.10376,0.98210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18250,-0.04396,0.00000,0.05603
0.18325,0.00698,0.00000,0.00990,0.09484,0.00136,0.00000,0.21539,0.10504,0.97801,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18337,-0.04411,0.00000,0.05470
