R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = P30 I0 
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.01248,0.01189,0.00000,-0.26594,0.05713,-0.00660,0.00000,0.21075,0.12291,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99298,0.20864,0.00000,0.06675
0.02409,0.00767,0.00000,-0.25092,0.05743,-0.00599,0.00000,0.21100,0.12298,0.98039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.93175,0.19558,0.00000,0.06705
0.03347,0.00566,0.00000,-0.23669,0.05684,-0.00553,0.00000,0.21252,0.12127,0.97887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.87497,0.18351,0.00000,0.06646
0.04491,0.00683,0.00000,-0.22316,0.05684,-0.00706,0.00000,0.21082,0.12194,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.81840,0.17139,0.00000,0.06646
0.05592,0.00725,0.00000,-0.21035,0.05757,-0.00828,0.00000,0.20935,0.12127,0.97868,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.76393,0.15969,0.00000,0.06720
0.06713,0.00800,0.00000,-0.19811,0.05904,-0.00904,0.00000,0.21088,0.12285,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.71107,0.14831,0.00000,0.06867
0.07596,0.00659,0.00000,-0.18658,0.05654,-0.00920,0.00000,0.21088,0.12090,0.97960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.66767,0.13918,0.00000,0.06617
0.08496,0.00545,0.00000,-0.17572,0.05669,-0.01057,0.00000,0.21021,0.11907,0.97862,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.62189,0.12937,0.00000,0.06631
0.09699,0.00730,0.00000,-0.16531,0.05581,-0.00889,0.00000,0.20990,0.12102,0.98009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.58223,0.12100,0.00000,0.06543
0.10823,0.00783,0.00000,-0.15529,0.05816,-0.00553,0.00000,0.21002,0.12273,0.97899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.54068,0.11211,0.00000,0.06778
0.11853,0.00785,0.00000,-0.14596,0.05816,-0.00920,0.00000,0.21057,0.11968,0.97856,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.49941,0.10319,0.00000,0.06778
0.12899,0.00814,0.00000,-0.13699,0.05757,-0.00813,0.00000,0.21222,0.12182,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.46460,0.09583,0.00000,0.06720
0.13711,0.00548,0.00000,-0.12871,0.05713,-0.00736,0.00000,0.20935,0.11627,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.43215,0.08895,0.00000,0.06675
0.14816,0.00636,0.00000,-0.12059,0.05666,-0.00859,0.00000,0.21112,0.12212,0.97954,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.39865,0.08179,0.00000,0.06631
0.15933,0.00710,0.00000,-0.11307,0.05549,-0.01088,0.00000,0.21021,0.11895,0.98100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.36772,0.07519,0.00000,0.06514
0.16924,0.00686,0.00000,-0.10608,0.05843,-0.00843,0.00000,0.20874,0.11486,0.98003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.33685,0.06852,0.00000,0.06808
0.18002,0.00725,0.00000,-0.09904,0.05843,-0.00721,0.00000,0.21307,0.12267,0.97929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.30921,0.06266,0.00000,0.06808
0.19055,0.00707,0.00000,-0.09266,0.05754,-0.00813,0.00000,0.20905,0.11682,0.98070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.28371,0.05724,0.00000,0.06720
0.20114,0.00705,0.00000,-0.08656,0.05769,-0.00477,0.00000,0.20960,0.11682,0.97905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.26150,0.05260,0.00000,0.06734
0.22081,0.01651,0.00000,-0.08059,0.05828,-0.00553,0.00000,0.21710,0.12151,0.97740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23556,0.04701,0.00000,0.06793
0.24079,0.00761,0.00000,-0.07429,0.05725,-0.00232,0.00000,0.22887,0.13365,0.98003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21421,0.04260,0.00000,0.06690
0.26181,0.01348,0.00000,-0.06753,0.05754,-0.00034,0.00000,0.23503,0.14860,0.97649,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18789,0.03703,0.00000,0.06720
0.28030,0.01207,0.00000,-0.06246,0.05754,0.00394,0.00000,0.24284,0.12212,0.99839,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17092,0.03354,0.00000,0.06720
0.30405,0.01706,0.00000,-0.05674,0.05975,0.01646,0.00000,0.22241,0.13444,1.00235,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.15514,0.03044,0.00000,0.06940
0.32389,0.01107,0.00000,-0.05274,0.05722,0.01997,0.00000,0.22722,0.10291,0.98289,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14568,0.02866,0.00000,0.06690
0.33668,0.00724,0.00000,-0.04940,0.06072,0.02394,0.00000,0.23339,0.09357,0.96386,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13021,0.02529,0.00000,0.07043
0.34632,0.00619,0.00000,-0.04622,0.05808,0.02364,0.00000,0.21746,0.09504,0.96661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.12097,0.02345,0.00000,0.06778
0.35747,0.00721,0.00000,-0.04239,0.05837,0.02196,0.00000,0.21521,0.11108,0.96484,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10342,0.01964,0.00000,0.06808
0.36818,0.00710,0.00000,-0.03829,0.05940,0.01692,0.00000,0.19910,0.12127,0.97228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.08075,0.01460,0.00000,0.06911
0.37864,0.00739,0.00000,-0.03478,0.05808,0.02028,0.00000,0.20148,0.11297,0.96776,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07135,0.01276,0.00000,0.06778
0.38888,0.00699,0.00000,-0.03096,0.05840,0.01738,0.00000,0.19538,0.12163,0.95746,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05274,0.00869,0.00000,0.06822
0.39981,0.00757,0.00000,-0.02768,0.05926,0.01646,0.00000,0.18648,0.11572,0.96618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03726,0.00531,0.00000,0.06925
0.40977,0.00736,0.00000,-0.02360,0.05060,0.02119,0.00000,0.20398,0.13365,0.95776,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03789,0.00605,0.00000,0.06073
0.42088,0.00741,0.00000,-0.02014,0.05810,0.02455,0.00000,0.19306,0.12426,0.95904,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01527,0.00093,0.00000,0.06837
0.43129,0.00766,0.00000,-0.01660,0.05569,0.02547,0.00000,0.18837,0.13005,0.96484,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00528,-0.00105,0.00000,0.06602
0.44214,0.00834,0.00000,-0.01255,0.05772,0.02669,0.00000,0.21978,0.14359,0.96075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01326,-0.00507,0.00000,0.06808
0.45032,0.00597,0.00000,-0.01005,0.05634,0.03158,0.00000,0.22356,0.11743,0.96307,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01711,-0.00568,0.00000,0.06675
0.46157,0.00708,0.00000,-0.00736,0.05711,0.03723,0.00000,0.20039,0.12365,0.98155,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02435,-0.00709,0.00000,0.06764
0.47206,0.00711,0.00000,-0.00422,0.05811,0.03677,0.00000,0.22814,0.13633,0.99582,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03906,-0.01030,0.00000,0.06881
0.48322,0.00784,0.00000,-0.00185,0.05550,0.03769,0.00000,0.21710,0.12426,0.99826,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04398,-0.01118,0.00000,0.06631
0.49278,0.00730,0.00000,0.00107,0.05850,0.03769,0.00000,0.20008,0.13945,1.00296,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06047,-0.01486,0.00000,0.06940
0.50340,0.00728,0.00000,0.00452,0.05692,0.03616,0.00000,0.19703,0.15244,0.99912,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07347,-0.01759,0.00000,0.06793
