R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = p30 i0 gain halven
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.02388,0.02328,0.00000,0.29651,0.10078,0.01945,0.00000,0.21698,0.10376,0.97966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.34661,-0.29206,0.00000,0.07160
0.03600,0.00768,0.00000,0.28303,0.09976,0.01731,0.00000,0.21673,0.10437,0.98082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.29189,-0.28040,0.00000,0.07058
0.04860,0.01023,0.00000,0.26991,0.10005,0.01395,0.00000,0.21521,0.10437,0.98064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.24170,-0.26981,0.00000,0.07087
0.06016,0.00788,0.00000,0.25737,0.09961,0.01563,0.00000,0.21545,0.10175,0.98033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.18839,-0.25836,0.00000,0.07043
0.07044,0.00781,0.00000,0.24555,0.10005,0.01441,0.00000,0.21576,0.10449,0.97978,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.14186,-0.24849,0.00000,0.07087
0.08059,0.00779,0.00000,0.23453,0.09961,0.01441,0.00000,0.21423,0.10870,0.97850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.09619,-0.23872,0.00000,0.07043
0.08966,0.00675,0.00000,0.22424,0.09961,0.01349,0.00000,0.21441,0.11303,0.97923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.05501,-0.22996,0.00000,0.07043
0.10080,0.00738,0.00000,0.21413,0.10020,0.01365,0.00000,0.21746,0.10590,0.97856,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.01450,-0.22135,0.00000,0.07102
0.11155,0.00741,0.00000,0.20454,0.10196,0.01502,0.00000,0.21509,0.10541,0.97838,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.97683,-0.21336,0.00000,0.07278
0.12105,0.00677,0.00000,0.19539,0.09887,0.01319,0.00000,0.21423,0.10577,0.98161,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93640,-0.20463,0.00000,0.06969
0.13232,0.00723,0.00000,0.18651,0.09990,0.01334,0.00000,0.21936,0.10181,0.98247,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.90159,-0.19725,0.00000,0.07072
0.14241,0.00715,0.00000,0.17836,0.10020,0.00983,0.00000,0.21173,0.10864,0.98228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87182,-0.19102,0.00000,0.07102
0.15308,0.00714,0.00000,0.17096,0.10005,0.00968,0.00000,0.21448,0.11480,0.98088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84152,-0.18455,0.00000,0.07087
0.16489,0.00879,0.00000,0.16345,0.10052,0.01166,0.00000,0.21667,0.10498,0.98167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80983,-0.17776,0.00000,0.07146
