R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = 
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,pot
0.00826,0.00748,0.00000,0.03330,-0.03914,-0.00211,0.00000,0.02159,0.05539,0.99406,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07829,-0.01470,0.00000,0.00000
0.02304,0.00737,0.00000,0.03446,-0.03914,0.00247,0.00000,0.02379,0.05551,0.99387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07903,-0.01471,0.00000,0.00000
0.03847,0.00799,0.00000,0.03537,-0.03914,0.00018,0.00000,0.02123,0.05222,0.99216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08473,-0.01600,0.00000,0.00000
0.05239,0.00691,0.00000,0.03615,-0.03914,0.00415,0.00000,0.01214,0.04935,0.98972,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08447,-0.01582,0.00000,0.00000
0.07113,0.00902,0.00000,0.03722,-0.03914,0.00217,0.00000,0.00823,0.05636,0.99546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09053,-0.01718,0.00000,0.00000
0.08995,0.00890,0.00000,0.03832,-0.03914,0.00705,0.00000,0.01781,0.05691,0.99961,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09080,-0.01709,0.00000,0.00000
0.10767,0.00731,0.00000,0.03933,-0.03914,0.00812,0.00000,0.00537,0.05557,0.99399,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09399,-0.01774,0.00000,0.00000
0.12613,0.00812,0.00000,0.04021,-0.03914,0.00293,0.00000,0.01623,0.05551,0.99454,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10207,-0.01962,0.00000,0.00000
0.14491,0.00857,0.00000,0.04142,-0.03914,0.00201,0.00000,0.00183,0.06326,0.98942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10784,-0.02088,0.00000,0.00000
0.16186,0.00692,0.00000,0.04089,-0.03914,0.00705,0.00000,0.04233,0.02861,1.00522,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10127,-0.01932,0.00000,0.00000
0.17644,0.00831,0.00000,0.04324,-0.03914,0.01484,0.00000,0.08253,0.07710,0.91049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10407,-0.01968,0.00000,0.00000
0.18877,0.00506,0.00000,0.04279,-0.03926,-0.00135,0.00000,-0.10132,0.03239,0.92964,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11617,-0.02275,0.00000,0.00000
0.20743,0.00666,0.00000,0.04236,-0.03937,0.00721,0.00000,-0.01311,0.03257,1.02029,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10681,-0.02048,0.00000,0.00000
0.22238,0.00813,0.00000,0.04663,-0.03937,0.02293,0.00000,0.15799,0.13237,1.07470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11052,-0.02080,0.00000,0.00000
0.24136,0.00978,0.00000,0.03874,-0.03948,0.01820,0.00000,-0.12432,-0.12023,1.00510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08227,-0.01491,0.00000,0.00000
0.25994,0.00899,0.00000,0.05230,-0.04008,-0.02914,0.00000,-0.64587,0.38625,0.97081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17795,-0.03673,0.00000,0.00000
0.27516,0.00728,0.00000,0.05544,-0.04039,0.05455,0.00000,0.60341,0.13030,1.15662,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11741,-0.02126,0.00000,0.00000
0.28832,0.00647,0.00000,0.05450,-0.04067,0.00094,0.00000,-0.16305,0.04160,1.13399,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15981,-0.03191,0.00000,0.00000
0.30831,0.00882,0.00000,0.05715,-0.04067,0.03759,0.00000,-0.43304,0.10602,1.03932,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13870,-0.02630,0.00000,0.00000
0.32310,0.00789,0.00000,0.05721,-0.04067,0.06127,0.00000,0.59841,0.04776,0.98808,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11837,-0.02124,0.00000,0.00000
0.33928,0.00664,0.00000,0.05453,-0.04053,0.02858,0.00000,0.40040,-0.00543,1.02724,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13608,-0.02602,0.00000,0.00000
0.35587,0.00661,0.00000,0.05605,-0.04010,-0.02456,0.00000,-0.63172,0.11157,1.01882,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18921,-0.03899,0.00000,0.00000
0.37635,0.00757,0.00000,0.06556,-0.04005,-0.01601,0.00000,0.32562,0.30030,1.11661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22070,-0.04545,0.00000,0.00000
0.39000,0.00652,0.00000,0.05928,-0.04002,-0.01341,0.00000,0.52368,-0.07296,1.18053,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.19285,-0.03943,0.00000,0.00000
