R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = 
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,potential
0.00916,0.00858,0.00000,0.16213,-0.01545,0.00354,0.00000,0.03501,-0.01732,0.99814,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63526,-0.13461,0.00000,0.50148
0.01679,0.00585,0.00000,0.15317,-0.01545,0.00324,0.00000,0.03434,-0.01769,0.99839,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.59893,-0.12687,0.00000,0.50133
0.02735,0.00606,0.00000,0.14463,-0.01545,-0.00012,0.00000,0.03440,-0.01751,0.99857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.56701,-0.12016,0.00000,0.50162
0.03752,0.00586,0.00000,0.13638,-0.01545,0.00049,0.00000,0.03642,-0.02050,0.99845,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.53280,-0.11284,0.00000,0.50162
0.04805,0.00586,0.00000,0.12852,-0.01545,0.00507,0.00000,0.02861,-0.02190,0.99887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49670,-0.10500,0.00000,0.50148
0.05909,0.00654,0.00000,0.12130,-0.01545,0.00141,0.00000,0.02281,-0.01616,0.99967,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47042,-0.09951,0.00000,0.50148
0.06892,0.00594,0.00000,0.11431,-0.01545,-0.00501,0.00000,0.03117,-0.01751,1.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44748,-0.09481,0.00000,0.50148
0.07940,0.00606,0.00000,0.10760,-0.01545,-0.00547,0.00000,0.05051,-0.01879,1.00144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.42051,-0.08907,0.00000,0.50148
0.09080,0.00710,0.00000,0.10132,-0.01545,-0.00715,0.00000,0.04886,-0.01647,0.99241,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39634,-0.08396,0.00000,0.50162
0.10004,0.00581,0.00000,0.09541,-0.01545,-0.01005,0.00000,0.03093,-0.01488,0.98918,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37471,-0.07944,0.00000,0.50162
